2022-07-14 19:52:47,445: 'n'
2022-07-14 19:52:49,447: 'n'
2022-07-14 19:52:49,651: 'o'
2022-07-14 19:52:50,166: Key.enter
2022-07-14 19:52:51,309: 'f'
2022-07-14 19:52:51,403: 'a'
2022-07-14 19:52:51,543: 'c'
2022-07-14 19:52:51,606: 'e'
2022-07-14 19:52:52,825: 'f'
2022-07-14 19:52:52,934: 'a'
2022-07-14 19:52:53,059: 'c'
2022-07-14 19:52:53,153: 'e'
2022-07-14 19:52:53,325: 'b'
2022-07-14 19:52:53,434: 'o'
2022-07-14 19:52:53,575: 'o'
2022-07-14 19:52:53,700: 'k'
2022-07-14 19:52:53,918: '.'
2022-07-14 19:52:54,044: 'c'
2022-07-14 19:52:54,153: 'o'
2022-07-14 19:52:54,263: 'm'
2022-07-14 19:52:54,700: Key.enter
2022-07-14 19:52:56,795: 'k'
2022-07-14 19:52:56,935: 'y'
2022-07-14 19:52:57,029: 'k'
2022-07-14 19:52:57,108: 'y'
2022-07-14 19:52:57,404: Key.shift
2022-07-14 19:52:57,592: '@'
2022-07-14 19:52:57,843: 'g'
2022-07-14 19:52:57,921: 'm'
2022-07-14 19:52:58,030: 'a'
2022-07-14 19:52:58,109: 'i'
2022-07-14 19:52:58,296: 'l'
2022-07-14 19:52:58,483: '.'
2022-07-14 19:52:58,640: 'c'
2022-07-14 19:52:58,734: 'o'
2022-07-14 19:52:58,952: 'm'
2022-07-14 19:52:59,406: Key.enter
2022-07-14 19:53:03,250: 'p'
2022-07-14 19:53:03,313: 'a'
2022-07-14 19:53:03,406: 's'
2022-07-14 19:53:03,563: 's'
2022-07-14 19:53:03,751: 'w'
2022-07-14 19:53:03,892: 'o'
2022-07-14 19:53:03,985: 'r'
2022-07-14 19:53:04,189: 'd'
2022-07-14 19:53:04,909: Key.enter
2022-07-14 19:53:08,333: '8'
2022-07-14 19:53:10,429: Key.enter
2022-07-14 19:59:49,134: '7'
2022-07-14 19:59:49,384: Key.enter
2022-07-14 20:00:10,440: '7'
2022-07-14 20:00:10,652: Key.enter
2022-07-14 20:00:11,307: '7'
2022-07-14 20:00:11,478: Key.enter
2022-07-14 20:00:12,787: '8'
2022-07-14 20:00:13,037: Key.enter
2022-07-14 20:00:19,283: Key.ctrl_l
2022-07-14 20:00:19,376: '\x03'
2022-07-14 20:03:50,457: <255>
2022-07-14 20:03:50,645: <255>
2022-07-14 20:03:50,801: <255>
2022-07-14 20:03:50,957: <255>
2022-07-14 20:03:58,490: <255>
